0	1487408476923799
6	1487399989026270
9	1487399912665218
13	1487399912665218
16	1487399912665218
17	1487399912665218
26	1487398975205309
30	1487398975205309
32	1487398975205309
36	1487398975205309
52	1487398975205309
53	1487398975205309
59	1487397611774013
68	1487396005180519
69	1487396005180519
73	1487396005180519
83	1487393839285460
99	1487391663496249
104	1487391663496249
117	1487391663496249
58	1487355851652075
75	1487354245058581
157	1451272275212222
205	1304755220458497
370	897694730543106
195	783204814923617
318	691835108143501
326	687823283412120
254	636915939606656
354	601699749764861
